Hãng sản xuất,Bộ nhớ trong_,Ram_,Chipset(CPU),man hinh,pin,Primary,Ultra_Wide,Telephoto,Giá
Samsung,128,8,Snapdragon 8 Gen 1 8 nhân,6.6,4500,50,10,12,25990000
Xiaomi,1,16,,6.67,5000,64,8,2,7990000
Xiaomi,512,12,Dimensity 7200 Ultra (4 nm),6.67,5000,200,8,2,8590000
Xiaomi,256,12,,6.67,5000,64,8,2,6990000
Apple,256,4,Apple A15 Bionic Chip,6.1,3240,0,0,0,27990000
Apple,128,8,,6.1,,48,12,12,30990000
Xiaomi,256,8,Qualcomm Snapdragon 870,6.67,4500,48,8,2,8450000
ZTE,64,4,Unisoc SC9863A1,6.75,5000,13,0,0,Liên hệ
Xiaomi,256,12,Snapdragon 8 GEN 2,6.36,13.,50,10,12,16990000
Samsung,128,8,Snapdragon 8 Gen 1 8 nhân,6.1,3700,50,10,12,21990000
Realme,256,8,Qualcomm SM8250-AC Snapdragon 870 5G (7 nm),6.62,5000,64,8,2,Liên hệ
Oppo,128,8,Dimensity 7050,6.7,5000,64,32,8,10990000
Samsung,128,4,Exynos 850,6.6,5000,50,5,2,Liên hệ
